,chem_colors,chem_pc1,chem_pc2,docking_score,label,mmgbsa,png,site_colors,site_pc1,site_pc2,url
ZINC000003866100,#5a5255,-0.35531567479390125,-0.2705652893172845,-5.533111759951099,ZINC000003866100,-49.2530661566016,http://zinc15.docking.org/substances/ZINC000003866100.png,#cb2636,-1.6818561850206022,2.576871742861099,http://zinc15.docking.org/substances/ZINC000003866100/
ZINC000039845669,#5a5255,-0.9141919032406973,-0.12117291310515786,-5.57232469773854,ZINC000039845669,-49.24329536280129,http://zinc15.docking.org/substances/ZINC000039845669.png,#ff8b27,1.7821728836470256,0.09351970666462923,http://zinc15.docking.org/substances/ZINC000039845669/
ZINC000047287237,#5a5255,0.4211511661112108,-0.48311128988808505,-6.0539107541869495,ZINC000047287237,-49.2428834729981,http://zinc15.docking.org/substances/ZINC000047287237.png,#ff8b27,0.846954605986657,-2.000216114041001,http://zinc15.docking.org/substances/ZINC000047287237/
ZINC000238882084,#ae5a41,-2.522396879326666,-0.7666029783623606,-5.72479730199262,ZINC000238882084,-49.238191881297105,http://zinc15.docking.org/substances/ZINC000238882084.png,#cb2636,-2.3986443742116674,2.0408645823567544,http://zinc15.docking.org/substances/ZINC000238882084/
ZINC000072121779,#559e83,1.121859737628642,-0.06302938679945766,-5.405476614183019,ZINC000072121779,-49.2338014313173,http://zinc15.docking.org/substances/ZINC000072121779.png,#ff8b27,1.4007860651957464,-1.7949316057164175,http://zinc15.docking.org/substances/ZINC000072121779/
ZINC000072121780,#559e83,1.121859737628642,-0.06302938679945766,-5.405476614183019,ZINC000072121780,-49.2338014313173,http://zinc15.docking.org/substances/ZINC000072121780.png,#ff8b27,1.4007860651957464,-1.7949316057164175,http://zinc15.docking.org/substances/ZINC000072121780/
ZINC000216074012,#1b85b8,0.07589594077498636,2.65810206412469,-7.43702572164246,ZINC000216074012,-49.2305727965977,http://zinc15.docking.org/substances/ZINC000216074012.png,#6abf5a,-4.039795576705875,-1.3637545869397203,http://zinc15.docking.org/substances/ZINC000216074012/
ZINC000057312251,#5a5255,-1.7521849888410015,0.009556237490618987,-5.6361018245299395,ZINC000057312251,-49.22991517210179,http://zinc15.docking.org/substances/ZINC000057312251.png,#6abf5a,-1.819190531995665,-0.4422942182010944,http://zinc15.docking.org/substances/ZINC000057312251/
ZINC000095360257,#5a5255,0.5576459643645718,0.1823916879259577,-5.23757066917375,ZINC000095360257,-49.2292667595975,http://zinc15.docking.org/substances/ZINC000095360257.png,#ff8b27,-1.5760856344676624,-2.0929227749268398,http://zinc15.docking.org/substances/ZINC000095360257/
ZINC000178519202,#559e83,1.3040532373439864,-0.7291914472387737,-5.65636020050207,ZINC000178519202,-49.21572565709721,http://zinc15.docking.org/substances/ZINC000178519202.png,#ff8b27,1.5916009926173293,-1.1461747217807206,http://zinc15.docking.org/substances/ZINC000178519202/
ZINC000008706560,#5a5255,-0.4663476579006641,-0.17714511567156924,-5.63060388106729,ZINC000008706560,-49.214139157600606,http://zinc15.docking.org/substances/ZINC000008706560.png,#cb2636,-0.5617380201789539,2.6472900864834306,http://zinc15.docking.org/substances/ZINC000008706560/
ZINC000585291555,#1b85b8,-1.1744386804314413,0.587223211070415,-5.47159412404991,ZINC000585291555,-49.2134992294996,http://zinc15.docking.org/substances/ZINC000585291555.png,#6abf5a,-4.3734669909613,-1.4550372616743716,http://zinc15.docking.org/substances/ZINC000585291555/
ZINC000069570092,#5a5255,0.018639453327071592,-0.5680010362125744,-5.75579733370342,ZINC000069570092,-49.19904830410089,http://zinc15.docking.org/substances/ZINC000069570092.png,#554c78,3.8145493344920585,1.1223458062595109,http://zinc15.docking.org/substances/ZINC000069570092/
ZINC000022862638,#1b85b8,-0.0545443406237323,1.0707803736915358,-6.43942494757467,ZINC000022862638,-49.1862430785986,http://zinc15.docking.org/substances/ZINC000022862638.png,#6abf5a,-2.6150546690587864,-0.04738423411355406,http://zinc15.docking.org/substances/ZINC000022862638/
ZINC000012311574,#5a5255,-1.1801746810894334,-0.3889749238308465,-6.19935838312847,ZINC000012311574,-49.1778042394981,http://zinc15.docking.org/substances/ZINC000012311574.png,#cb2636,-0.4966995351920984,1.1189424797437861,http://zinc15.docking.org/substances/ZINC000012311574/
ZINC000263626191,#5a5255,-1.1801746810894334,-0.3889749238308465,-6.19935838312847,ZINC000263626191,-49.1778042394981,http://zinc15.docking.org/substances/ZINC000263626191.png,#cb2636,-0.4966995351920984,1.1189424797437861,http://zinc15.docking.org/substances/ZINC000263626191/
ZINC000305718778,#5a5255,-0.8763403250591261,-0.3496072779822415,-5.42720896677592,ZINC000305718778,-49.164187946698796,http://zinc15.docking.org/substances/ZINC000305718778.png,#cb2636,-0.09730978415498187,1.2953904115525738,http://zinc15.docking.org/substances/ZINC000305718778/
ZINC000091563527,#559e83,0.6797797011613319,-0.558416342763573,-5.91528039978796,ZINC000091563527,-49.155285726497794,http://zinc15.docking.org/substances/ZINC000091563527.png,#6abf5a,-3.270905305274556,0.6062219910927393,http://zinc15.docking.org/substances/ZINC000091563527/
ZINC000007540133,#5a5255,-1.3611873437629898,0.3119128988125309,-5.30093961394347,ZINC000007540133,-49.155135188299,http://zinc15.docking.org/substances/ZINC000007540133.png,#ff8b27,0.7408756283423945,-3.1539095651043967,http://zinc15.docking.org/substances/ZINC000007540133/
ZINC000019314289,#1b85b8,-0.2584676783299377,1.8906657578402395,-5.85443421459041,ZINC000019314289,-49.1466415237992,http://zinc15.docking.org/substances/ZINC000019314289.png,#cb2636,-2.2545567871737386,1.2036405327723583,http://zinc15.docking.org/substances/ZINC000019314289/
ZINC000020535269,#559e83,0.5081931427702097,-0.02710296418490019,-5.79628560076129,ZINC000020535269,-49.14604049499761,http://zinc15.docking.org/substances/ZINC000020535269.png,#ff8b27,0.08324510967952242,-3.0042682834682206,http://zinc15.docking.org/substances/ZINC000020535269/
ZINC000071415540,#559e83,0.7860088675096267,-0.5644651098607929,-7.92174856751917,ZINC000071415540,-49.145990734396,http://zinc15.docking.org/substances/ZINC000071415540.png,#ff8b27,0.0757732830770284,-3.0120717177584937,http://zinc15.docking.org/substances/ZINC000071415540/
ZINC000005460606,#5a5255,-0.8796470254411093,-0.3734904626657566,-5.789067494288781,ZINC000005460606,-49.143724663499604,http://zinc15.docking.org/substances/ZINC000005460606.png,#6abf5a,-3.9252881654499223,-1.5830605518853522,http://zinc15.docking.org/substances/ZINC000005460606/
ZINC000092078387,#1b85b8,0.4545269111750883,0.5891800407002282,-5.26196834627433,ZINC000092078387,-49.1278041009318,http://zinc15.docking.org/substances/ZINC000092078387.png,#cb2636,-2.256426631160526,0.3524606486187665,http://zinc15.docking.org/substances/ZINC000092078387/
ZINC000091417052,#559e83,0.618671689120383,-0.6966546891940337,-5.52503378975788,ZINC000091417052,-49.1156904409982,http://zinc15.docking.org/substances/ZINC000091417052.png,#6abf5a,-1.637902297631939,-2.3157377166339552,http://zinc15.docking.org/substances/ZINC000091417052/
ZINC000299816714,#5a5255,-0.8965058397764186,-0.4333049873822084,-7.29954060822461,ZINC000299816714,-49.113490664898606,http://zinc15.docking.org/substances/ZINC000299816714.png,#554c78,2.8443266453351135,1.1674930595350865,http://zinc15.docking.org/substances/ZINC000299816714/
ZINC000014415571,#5a5255,-0.8965058397764186,-0.4333049873822084,-7.29954060822461,ZINC000014415571,-49.113490664898606,http://zinc15.docking.org/substances/ZINC000014415571.png,#554c78,2.8443266453351135,1.1674930595350865,http://zinc15.docking.org/substances/ZINC000014415571/
ZINC000005667874,#ae5a41,-2.522396879326666,-0.7666029783623606,-5.4109483578636395,ZINC000005667874,-49.1092065925986,http://zinc15.docking.org/substances/ZINC000005667874.png,#ff8b27,1.044135508306353,-1.908614279389985,http://zinc15.docking.org/substances/ZINC000005667874/
ZINC000043772393,#5a5255,-0.3698841634798277,-0.2443802437191788,-5.57440185018273,ZINC000043772393,-49.102411656898795,http://zinc15.docking.org/substances/ZINC000043772393.png,#cb2636,0.13330556067911242,3.1291393606644022,http://zinc15.docking.org/substances/ZINC000043772393/
ZINC000257236219,#559e83,0.7839858450263568,-0.6522852338210072,-5.751445410704191,ZINC000257236219,-49.0978180104285,http://zinc15.docking.org/substances/ZINC000257236219.png,#cb2636,0.08473914291193387,3.066274580826805,http://zinc15.docking.org/substances/ZINC000257236219/
ZINC000122009222,#1b85b8,0.08675133597146624,1.2226252002389413,-5.21938599049967,ZINC000122009222,-49.0942665965995,http://zinc15.docking.org/substances/ZINC000122009222.png,#6abf5a,-3.745939778780918,-1.3336757274354125,http://zinc15.docking.org/substances/ZINC000122009222/
ZINC000091974128,#1b85b8,0.004312118596016309,1.111337453444222,-5.36452610315417,ZINC000091974128,-49.0926770962978,http://zinc15.docking.org/substances/ZINC000091974128.png,#cb2636,-2.0790767017088565,2.6977883923991426,http://zinc15.docking.org/substances/ZINC000091974128/
ZINC000048277072,#559e83,0.8250059029330807,-0.6054892463086613,-5.3202200262233,ZINC000048277072,-49.088416488197296,http://zinc15.docking.org/substances/ZINC000048277072.png,#cb2636,-2.538066135731798,2.2134687108710063,http://zinc15.docking.org/substances/ZINC000048277072/
ZINC000067909089,#5a5255,0.0817413241825107,-0.10859157424557958,-6.46842550655631,ZINC000067909089,-49.080881528898296,http://zinc15.docking.org/substances/ZINC000067909089.png,#554c78,3.282682279846136,1.186371418180576,http://zinc15.docking.org/substances/ZINC000067909089/
ZINC000216006400,#1b85b8,-0.6881155672676329,2.7711677913259183,-5.34453849357703,ZINC000216006400,-49.080561468399495,http://zinc15.docking.org/substances/ZINC000216006400.png,#6abf5a,-4.023500101177544,-1.2102828547423095,http://zinc15.docking.org/substances/ZINC000216006400/
ZINC000238881815,#ae5a41,-2.274326171461958,-0.6618236791014788,-5.9064713767123305,ZINC000238881815,-49.0759199352979,http://zinc15.docking.org/substances/ZINC000238881815.png,#cb2636,-1.9932323555810196,2.3285452726602958,http://zinc15.docking.org/substances/ZINC000238881815/
ZINC000097514271,#1b85b8,-0.2074257854771142,1.358410280795278,-5.22095614516684,ZINC000097514271,-49.069016448200294,http://zinc15.docking.org/substances/ZINC000097514271.png,#6abf5a,-3.085491817439474,-1.5763990899934646,http://zinc15.docking.org/substances/ZINC000097514271/
